cep;logradouro;bairro;municipio;uf;pais
88010-010;Rua Trajano;Centro;Florianópolis;SC;Brasil
88010-020;Rua Deodoro;Centro;Florianópolis;SC;Brasil
88010-030;Rua Jerônimo Coelho;Centro;Florianópolis;SC;Brasil
88010-040;Rua Álvaro de Carvalho;Centro;Florianópolis;SC;Brasil
88010-050;Largo Fagundes;Centro;Florianópolis;SC;Brasil
88010-060;Rua Sete de Setembro;Centro;Florianópolis;SC;Brasil
